endpoint,nodeId,browseName,displayName,nodeClass,dataTypeId,valueRank,access,userAccess,currentValue
opc.tcp://plc:4840,ns=0;i=9118,EnabledState,EnabledState,2,ns=0;i=21,-1,1,1,{}
opc.tcp://plc:4840,ns=0;i=9169,SuppressedState,SuppressedState,2,ns=0;i=21,-1,1,1,{}
opc.tcp://plc:4840,ns=0;i=16401,ReAlarmRepeatCount,ReAlarmRepeatCount,2,ns=0;i=4,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=16380,SilenceState,SilenceState,2,ns=0;i=21,-1,1,1,{}
opc.tcp://plc:4840,ns=0;i=18190,LatchedState,LatchedState,2,ns=0;i=21,-1,1,1,{}
opc.tcp://plc:4840,ns=0;i=16396,OffDelay,OffDelay,2,ns=0;i=290,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=16390,AudibleSound,AudibleSound,2,ns=0;i=16307,-1,1,1,null
opc.tcp://plc:4840,ns=0;i=9215,SuppressedOrShelved,SuppressedOrShelved,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=11120,InputNode,InputNode,2,ns=0;i=17,-1,1,1,"""ns=0;i=0"""
opc.tcp://plc:4840,ns=0;i=16395,OnDelay,OnDelay,2,ns=0;i=290,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=16400,ReAlarmTime,ReAlarmTime,2,ns=0;i=290,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=16389,AudibleEnabled,AudibleEnabled,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=9216,MaxTimeShelved,MaxTimeShelved,2,ns=0;i=290,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=16466,Id,Id,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=16435,SourceTimestamp,SourceTimestamp,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=16424,Id,Id,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=16437,SourceTimestamp,SourceTimestamp,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=16442,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""EventId"",""dataType"":""ns=0;i=15"",""valueRank"":-1,""description"":{""locale"":"""",""text"":""The identifier for the event to comment.""}},{""name"":""Comment"",""dataType"":""ns=0;i=21"",""valueRank"":-1,""description"":{""locale"":"""",""text"":""The comment to add to the condition.""}}]"
opc.tcp://plc:4840,ns=0;i=16444,Id,Id,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=16433,SourceTimestamp,SourceTimestamp,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=16462,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""EventId"",""dataType"":""ns=0;i=15"",""valueRank"":-1,""description"":{""locale"":"""",""text"":""The identifier for the event to comment.""}},{""name"":""Comment"",""dataType"":""ns=0;i=21"",""valueRank"":-1,""description"":{""locale"":"""",""text"":""The comment to add to the condition.""}}]"
opc.tcp://plc:4840,ns=0;i=15229,DataSetMetaData,DataSetMetaData,2,ns=0;i=14523,-1,1,1,"{""description"":{},""dataSetClassId"":""00000000-0000-0000-0000-000000000000"",""configurationVersion"":{""majorVersion"":0,""minorVersion"":0}}"
opc.tcp://plc:4840,ns=0;i=14519,ConfigurationVersion,ConfigurationVersion,2,ns=0;i=14593,-1,1,1,"{""majorVersion"":0,""minorVersion"":0}"
opc.tcp://plc:4840,ns=0;i=16759,DataSetClassId,DataSetClassId,2,ns=0;i=14,-1,1,1,00000000-0000-0000-0000-000000000000
opc.tcp://plc:4840,ns=0;i=16894,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""Name"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=16922,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""DataSetFolderNodeId"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=14486,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""DataSetNodeId"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=16882,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""Name"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}},{""name"":""DataSetMetaData"",""dataType"":""ns=0;i=14523"",""valueRank"":-1,""description"":{}},{""name"":""EventNotifier"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}},{""name"":""SelectedFields"",""dataType"":""ns=0;i=601"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}},{""name"":""Filter"",""dataType"":""ns=0;i=586"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=16883,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""DataSetNodeId"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=14483,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""Name"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}},{""name"":""EventNotifier"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}},{""name"":""FieldNameAliases"",""dataType"":""ns=0;i=12"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}},{""name"":""FieldFlags"",""dataType"":""ns=0;i=15904"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}},{""name"":""SelectedFields"",""dataType"":""ns=0;i=601"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}},{""name"":""Filter"",""dataType"":""ns=0;i=586"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=14484,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""ConfigurationVersion"",""dataType"":""ns=0;i=14593"",""valueRank"":-1,""description"":{}},{""name"":""DataSetNodeId"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=16924,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""DataSetFolderNodeId"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=14481,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""DataSetNodeId"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}},{""name"":""ConfigurationVersion"",""dataType"":""ns=0;i=14593"",""valueRank"":-1,""description"":{}},{""name"":""AddResults"",""dataType"":""ns=0;i=19"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=14480,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""Name"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}},{""name"":""FieldNameAliases"",""dataType"":""ns=0;i=12"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}},{""name"":""FieldFlags"",""dataType"":""ns=0;i=15904"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}},{""name"":""VariablesToAdd"",""dataType"":""ns=0;i=14273"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=16843,InputArguments,InputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""Name"",""dataType"":""ns=0;i=12"",""valueRank"":-1,""description"":{}},{""name"":""DataSetMetaData"",""dataType"":""ns=0;i=14523"",""valueRank"":-1,""description"":{}},{""name"":""VariablesToAdd"",""dataType"":""ns=0;i=14273"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=16853,OutputArguments,OutputArguments,2,ns=0;i=296,1,1,1,"[{""name"":""DataSetNodeId"",""dataType"":""ns=0;i=17"",""valueRank"":-1,""description"":{}},{""name"":""AddResults"",""dataType"":""ns=0;i=19"",""valueRank"":1,""arrayDimensions"":[0],""description"":{}}]"
opc.tcp://plc:4840,ns=0;i=13631,CertificateTypes,CertificateTypes,2,ns=0;i=17,1,1,1,"[""ns=0;i=0""]"
opc.tcp://plc:4840,ns=0;i=13836,LastUpdateTime,LastUpdateTime,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=13818,UserWritable,UserWritable,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=13819,OpenCount,OpenCount,2,ns=0;i=5,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=13817,Writable,Writable,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=13816,Size,Size,2,ns=0;i=9,-1,1,1,"[0,0]"
